,INDEX,VD,,"OSFP Port#","OSFP Lane#",VD,"Port Group","Rx Ramon3","Rx Core","Physical Rx Lane","Rx 2x2 Mux","Post-Mux Rx Lane","Tx Ramon3","Tx Core","Physical Tx Lane","Tx 8x8 Mux","Post-Mux Tx Lane",,"Rx Trace Loss","Tx Trace Loss",,Pre3,Pre2,Pre,Main,Post,Post2
,452,R0.1,,57,4,1,3,0,29,6,,6,0,29,7,x,6,,2.5,1.5,,0,2,-12,116,-4,0
,453,R1.0,,57,5,2,3,1,35,0,,0,1,35,0,-,0,,8.0,8.2,,0,2,-16,112,-4,0
,454,R0.0,,57,6,0,3,0,28,0,,0,0,28,1,x,0,,2.2,1.8,,0,2,-12,116,-4,0
,455,R1.1,,57,7,3,3,1,35,2,x,6,1,35,2,x,6,,8.1,8.2,,0,2,-16,112,-4,0
,456,R0.1,,57,8,1,3,0,28,2,x,6,0,28,3,x,6,,2.1,1.8,,0,2,-12,116,-4,0
,457,R1.0,,58,1,2,3,1,32,4,x,0,1,32,5,x,0,,7.2,7.2,,0,0,-8,104,-4,0
,458,R0.0,,58,2,0,3,0,31,4,x,0,0,31,4,x,0,,3.5,2.4,,0,0,-8,96,0,0
,459,R1.1,,58,3,3,3,1,32,6,,6,1,32,7,x,6,,7.2,7.2,,0,0,-8,104,-4,0
,460,R0.1,,58,4,1,3,0,31,6,,6,0,31,6,-,6,,3.4,2.4,,0,0,-8,96,0,0
,461,R1.0,,58,5,2,3,1,33,0,,0,1,33,1,x,0,,7.1,7.2,,0,0,-8,104,-4,0
,462,R0.0,,58,6,0,3,0,30,0,,0,0,30,0,-,0,,3.1,2.7,,0,0,-8,96,0,0
,463,R1.1,,58,7,3,3,1,33,2,x,6,1,33,3,x,6,,7.2,7.2,,0,0,-8,104,-4,0
,464,R0.1,,58,8,1,3,0,30,2,x,6,0,30,2,x,6,,3.0,2.7,,0,0,-8,96,0,0
,465,R1.0,,59,1,2,3,1,34,5,x,1,1,34,5,x,1,,6.2,6.3,,0,0,-8,104,-4,0
,466,R0.0,,59,2,0,3,0,29,5,x,1,0,29,4,x,1,,4.2,3.2,,0,0,-8,104,-4,0
,467,R1.1,,59,3,3,3,1,34,7,,7,1,34,7,-,7,,6.3,6.3,,0,0,-8,104,-4,0
,468,R0.1,,59,4,1,3,0,29,7,,7,0,29,6,x,7,,4.1,3.3,,0,0,-8,104,-4,0
,469,R1.0,,59,5,2,3,1,35,1,,1,1,35,1,-,1,,6.2,6.3,,0,0,-8,104,-4,0
,470,R0.0,,59,6,0,3,0,28,1,,1,0,28,0,x,1,,3.9,3.6,,0,0,-8,104,-4,0
,471,R1.1,,59,7,3,3,1,35,3,x,7,1,35,3,x,7,,6.3,6.3,,0,0,-8,104,-4,0
,472,R0.1,,59,8,1,3,0,28,3,x,7,0,28,2,x,7,,3.8,3.6,,0,0,-8,104,-4,0
,473,R1.0,,60,1,2,3,1,32,5,x,1,1,32,4,x,1,,5.3,5.6,,0,0,-8,104,-4,0
,474,R0.0,,60,2,0,3,0,31,5,x,1,0,31,5,x,1,,5.1,4.0,,0,0,-8,100,-4,0
,475,R1.1,,60,3,3,3,1,32,7,,7,1,32,6,x,7,,5.4,5.5,,0,0,-8,104,-4,0
,476,R0.1,,60,4,1,3,0,31,7,,7,0,31,7,-,7,,5.0,4.1,,0,0,-8,100,-4,0
,477,R1.0,,60,5,2,3,1,33,1,,1,1,33,0,x,1,,5.3,5.6,,0,0,-8,104,-4,0
,478,R0.0,,60,6,0,3,0,30,1,,1,0,30,1,-,1,,4.7,4.3,,0,0,-8,100,-4,0
,479,R1.1,,60,7,3,3,1,33,3,x,7,1,33,2,x,7,,5.4,5.5,,0,0,-8,104,-4,0
,480,R0.1,,60,8,1,3,0,30,3,x,7,0,30,3,x,7,,4.7,4.4,,0,0,-8,100,-4,0
,481,R1.1,,61,1,3,3,1,35,4,,4,1,35,4,-,4,,4.4,4.9,,0,0,-8,104,-4,0
,482,R0.1,,61,2,1,3,0,28,4,,4,0,28,5,x,4,,5.8,5.1,,0,0,-8,104,-4,0
,483,R1.0,,61,3,2,3,1,35,6,x,2,1,35,6,x,2,,4.5,4.8,,0,0,-8,104,-4,0
,484,R0.0,,61,4,0,3,0,28,6,x,2,0,28,7,x,2,,5.8,5.1,,0,0,-8,104,-4,0
,485,R1.1,,61,5,3,3,1,34,0,x,4,1,34,0,x,4,,4.7,4.5,,0,0,-8,104,-4,0
,486,R0.1,,61,6,1,3,0,29,0,x,4,0,29,1,x,4,,5.9,5.1,,0,0,-8,104,-4,0
,487,R1.0,,61,7,2,3,1,34,2,,2,1,34,2,-,2,,4.8,4.5,,0,0,-8,104,-4,0
,488,R0.0,,61,8,0,3,0,29,2,,2,0,29,3,x,2,,5.8,5.1,,0,0,-8,104,-4,0
,489,R1.1,,62,1,3,3,1,33,4,,4,1,33,5,x,4,,3.6,3.9,,0,0,-8,100,-4,0
,490,R0.1,,62,2,1,3,0,30,4,,4,0,30,4,-,4,,6.7,6.0,,0,0,-8,104,-4,0
,491,R1.0,,62,3,2,3,1,33,6,x,2,1,33,7,x,2,,3.6,3.8,,0,0,-8,100,-4,0
,492,R0.0,,62,4,0,3,0,30,6,x,2,0,30,6,x,2,,6.7,6.1,,0,0,-8,104,-4,0
,493,R1.1,,62,5,3,3,1,32,0,x,4,1,32,1,x,4,,3.8,3.6,,0,0,-8,100,-4,0
,494,R0.1,,62,6,1,3,0,31,0,x,4,0,31,0,x,4,,6.8,6.0,,0,0,-8,104,-4,0
,495,R1.0,,62,7,2,3,1,32,2,,2,1,32,3,x,2,,3.9,3.5,,0,0,-8,100,-4,0
,496,R0.0,,62,8,0,3,0,31,2,,2,0,31,2,-,2,,6.7,6.0,,0,0,-8,104,-4,0
,497,R1.1,,63,1,3,3,1,35,5,,5,1,35,5,-,5,,2.6,3.0,,0,0,-8,100,-4,0
,498,R0.1,,63,2,1,3,0,28,5,,5,0,28,4,x,5,,7.5,6.9,,0,0,-8,104,-4,0
,499,R1.0,,63,3,2,3,1,35,7,x,3,1,35,7,x,3,,2.7,2.9,,0,0,-8,100,-4,0
,500,R0.0,,63,4,0,3,0,28,7,x,3,0,28,6,x,3,,7.4,7.0,,0,0,-8,104,-4,0
,501,R1.1,,63,5,3,3,1,34,1,x,5,1,34,1,x,5,,2.9,2.7,,0,0,-8,100,-4,0
,502,R0.1,,63,6,1,3,0,29,1,x,5,0,29,0,x,5,,7.5,6.9,,0,0,-8,104,-4,0
,503,R1.0,,63,7,2,3,1,34,3,,3,1,34,3,-,3,,3.0,2.6,,0,0,-8,100,-4,0
,504,R0.0,,63,8,0,3,0,29,3,,3,0,29,2,x,3,,7.4,6.9,,0,0,-8,104,-4,0
,505,R1.1,,64,1,3,3,1,33,5,,5,1,33,4,x,5,,1.7,2.3,,0,0,-8,100,-4,0
,506,R0.1,,64,2,1,3,0,30,5,,5,0,30,5,-,5,,8.4,7.7,,0,2,-12,104,-4,0
,507,R1.0,,64,3,2,3,1,33,7,x,3,1,33,6,x,3,,1.8,2.2,,0,0,-8,100,-4,0
,508,R0.0,,64,4,0,3,0,30,7,x,3,0,30,7,x,3,,8.3,7.8,,0,2,-12,104,-4,0
,509,R1.1,,64,5,3,3,1,32,1,x,5,1,32,0,x,5,,2.0,2.0,,0,0,-8,100,-4,0
,510,R0.1,,64,6,1,3,0,31,1,x,5,0,31,1,x,5,,8.4,7.7,,0,2,-12,104,-4,0
,511,R1.0,,64,7,2,3,1,32,3,,3,1,32,2,x,3,,2.1,1.9,,0,0,-8,100,-4,0
,512,R0.0,,64,8,0,3,0,31,3,,3,0,31,3,-,3,,8.3,7.8,,0,2,-12,104,-4,0
,513,R1.1,,65,1,3,4,1,31,2,x,6,1,31,2,x,6,,8.1,8.2,,0,2,-16,116,-8,0
,514,R0.1,,65,2,1,4,0,32,2,x,6,0,32,3,x,6,,2.5,1.4,,0,2,-16,116,-4,0
,515,R1.0,,65,3,2,4,1,31,0,,0,1,31,0,-,0,,8.2,8.1,,0,2,-16,116,-8,0
,516,R0.0,,65,4,0,4,0,32,0,,0,0,32,1,x,0,,2.5,1.5,,0,2,-16,116,-4,0
,517,R1.1,,65,5,3,4,1,30,6,,6,1,30,6,-,6,,8.0,8.2,,0,2,-16,116,-8,0
,518,R0.1,,65,6,1,4,0,33,6,,6,0,33,7,x,6,,2.2,1.7,,0,2,-16,116,-4,0
,519,R1.0,,65,7,2,4,1,30,4,x,0,1,30,4,x,0,,8.1,8.2,,0,2,-16,116,-8,0
,520,R0.0,,65,8,0,4,0,33,4,x,0,0,33,5,x,0,,2.1,1.8,,0,2,-16,116,-4,0
,521,R1.1,,66,1,3,4,1,29,2,x,6,1,29,3,x,6,,7.2,7.2,,0,2,-12,108,-4,0
,522,R0.1,,66,2,1,4,0,34,2,x,6,0,34,2,x,6,,3.4,2.3,,0,0,-8,100,-4,0
,523,R1.0,,66,3,2,4,1,29,0,,0,1,29,1,x,0,,7.3,7.2,,0,2,-12,108,-4,0
,524,R0.0,,66,4,0,4,0,34,0,,0,0,34,0,-,0,,3.3,2.4,,0,0,-8,100,-4,0
,525,R1.1,,66,5,3,4,1,28,6,,6,1,28,7,x,6,,7.1,7.2,,0,2,-12,108,-4,0
,526,R0.1,,66,6,1,4,0,35,6,,6,0,35,6,-,6,,3.1,2.7,,0,0,-8,100,-4,0
,527,R1.0,,66,7,2,4,1,28,4,x,0,1,28,5,x,0,,7.2,7.2,,0,2,-12,108,-4,0
,528,R0.0,,66,8,0,4,0,35,4,x,0,0,35,4,x,0,,3.0,2.8,,0,0,-8,100,-4,0
,529,R1.1,,67,1,3,4,1,31,3,x,7,1,31,3,x,7,,6.2,6.3,,0,0,-8,104,-4,0
,530,R0.1,,67,2,1,4,0,32,3,x,7,0,32,2,x,7,,4.2,3.3,,0,0,-8,100,-4,0
,531,R1.0,,67,3,2,4,1,31,1,,1,1,31,1,-,1,,6.3,6.3,,0,0,-8,104,-4,0
,532,R0.0,,67,4,0,4,0,32,1,,1,0,32,0,x,1,,4.1,3.3,,0,0,-8,100,-4,0
,533,R1.1,,67,5,3,4,1,30,7,,7,1,30,7,-,7,,6.2,6.3,,0,0,-8,104,-4,0
,534,R0.1,,67,6,1,4,0,33,7,,7,0,33,6,x,7,,3.9,3.6,,0,0,-8,100,-4,0
,535,R1.0,,67,7,2,4,1,30,5,x,1,1,30,5,x,1,,6.3,6.3,,0,0,-8,104,-4,0
,536,R0.0,,67,8,0,4,0,33,5,x,1,0,33,4,x,1,,3.8,3.7,,0,0,-8,100,-4,0
,537,R1.1,,68,1,3,4,1,29,3,x,7,1,29,2,x,7,,5.3,5.6,,0,0,-8,104,-4,0
,538,R0.1,,68,2,1,4,0,34,3,x,7,0,34,3,x,7,,5.1,4.0,,0,0,-8,104,-4,0
,539,R1.0,,68,3,2,4,1,29,1,,1,1,29,0,x,1,,5.4,5.5,,0,0,-8,104,-4,0
,540,R0.0,,68,4,0,4,0,34,1,,1,0,34,1,-,1,,5.0,4.1,,0,0,-8,104,-4,0
,541,R1.1,,68,5,3,4,1,28,7,,7,1,28,6,x,7,,5.3,5.6,,0,0,-8,104,-4,0
,542,R0.1,,68,6,1,4,0,35,7,,7,0,35,7,-,7,,4.8,4.3,,0,0,-8,104,-4,0
,543,R1.0,,68,7,2,4,1,28,5,x,1,1,28,4,x,1,,5.4,5.5,,0,0,-8,104,-4,0
,544,R0.0,,68,8,0,4,0,35,5,x,1,0,35,5,x,1,,4.9,4.4,,0,0,-8,104,-4,0
,545,R1.0,,69,1,2,4,1,30,2,,2,1,30,2,-,2,,4.4,4.8,,0,0,-8,104,-4,0
,546,R0.0,,69,2,0,4,0,33,2,,2,0,33,3,x,2,,5.8,5.1,,0,0,-8,104,-4,0
,547,R1.1,,69,3,3,4,1,30,0,x,4,1,30,0,x,4,,4.5,4.8,,0,0,-8,104,-4,0
,548,R0.1,,69,4,1,4,0,33,0,x,4,0,33,1,x,4,,5.8,5.1,,0,0,-8,104,-4,0
,549,R1.0,,69,5,2,4,1,31,6,x,2,1,31,6,x,2,,4.7,4.5,,0,0,-8,104,-4,0
,550,R0.0,,69,6,0,4,0,32,6,x,2,0,32,7,x,2,,5.9,5.1,,0,0,-8,104,-4,0
,551,R1.1,,69,7,3,4,1,31,4,,4,1,31,4,-,4,,4.8,4.5,,0,0,-8,104,-4,0
,552,R0.1,,69,8,1,4,0,32,4,,4,0,32,5,x,4,,5.8,5.1,,0,0,-8,104,-4,0
,553,R1.0,,70,1,2,4,1,28,2,,2,1,28,3,x,2,,3.5,3.9,,0,0,-8,100,-4,0
,554,R0.0,,70,2,0,4,0,35,2,,2,0,35,2,-,2,,6.7,6.0,,0,0,-8,100,0,0
,555,R1.1,,70,3,3,4,1,28,0,x,4,1,28,1,x,4,,3.6,3.8,,0,0,-8,100,-4,0
,556,R0.1,,70,4,1,4,0,35,0,x,4,0,35,0,x,4,,6.6,6.1,,0,0,-8,100,0,0
,557,R1.0,,70,5,2,4,1,29,6,x,2,1,29,7,x,2,,3.8,3.6,,0,0,-8,100,-4,0
,558,R0.0,,70,6,0,4,0,34,6,x,2,0,34,6,x,2,,6.8,6.0,,0,0,-8,100,0,0
,559,R1.1,,70,7,3,4,1,29,4,,4,1,29,5,x,4,,3.9,3.5,,0,0,-8,100,-4,0
,560,R0.1,,70,8,1,4,0,34,4,,4,0,34,4,-,4,,6.7,6.1,,0,0,-8,100,0,0
,561,R1.0,,71,1,2,4,1,30,3,,3,1,30,3,-,3,,2.6,3.0,,0,0,-8,100,-4,0
,562,R0.0,,71,2,0,4,0,33,3,,3,0,33,2,x,3,,7.5,6.9,,0,0,-8,104,-4,0
,563,R1.1,,71,3,3,4,1,30,1,x,5,1,30,1,x,5,,2.6,2.9,,0,0,-8,100,-4,0
,564,R0.1,,71,4,1,4,0,33,1,x,5,0,33,0,x,5,,7.4,7.0,,0,0,-8,104,-4,0
,565,R1.0,,71,5,2,4,1,31,7,x,3,1,31,7,x,3,,2.9,2.7,,0,0,-8,100,-4,0
,566,R0.0,,71,6,0,4,0,32,7,x,3,0,32,6,x,3,,7.5,6.9,,0,0,-8,104,-4,0
,567,R1.1,,71,7,3,4,1,31,5,,5,1,31,5,-,5,,3.0,2.6,,0,0,-8,100,-4,0
,568,R0.1,,71,8,1,4,0,32,5,,5,0,32,4,x,5,,7.4,7.0,,0,0,-8,104,-4,0
,569,R1.0,,72,1,2,4,1,28,3,,3,1,28,2,x,3,,1.7,2.2,,0,0,-8,100,-4,0
,570,R0.0,,72,2,0,4,0,35,3,,3,0,35,3,-,3,,8.4,7.7,,0,2,-12,108,-4,0
,571,R1.1,,72,3,3,4,1,28,1,x,5,1,28,0,x,5,,1.7,2.2,,0,0,-8,100,-4,0
,572,R0.1,,72,4,1,4,0,35,1,x,5,0,35,1,x,5,,8.3,7.8,,0,2,-12,108,-4,0
,573,R1.0,,72,5,2,4,1,29,7,x,3,1,29,6,x,3,,2.0,1.9,,0,0,-8,100,-4,0
,574,R0.0,,72,6,0,4,0,34,7,x,3,0,34,7,x,3,,8.4,7.7,,0,2,-12,108,-4,0
,575,R1.1,,72,7,3,4,1,29,5,,5,1,29,4,x,5,,2.0,1.8,,0,0,-8,100,-4,0
,576,R0.1,,72,8,1,4,0,34,5,,5,0,34,5,-,5,,8.3,7.8,,0,2,-12,108,-4,0
,577,R1.1,,73,1,3,4,1,26,4,,4,1,26,0,x,4,,8.4,8.8,,0,2,-16,124,-8,0
,578,R0.1,,73,2,1,4,0,37,4,,4,0,37,3,x,4,,2.6,1.9,,0,0,-8,104,-4,0
,579,R1.0,,73,3,2,4,1,26,0,,0,1,26,4,x,0,,8.2,8.8,,0,2,-16,124,-8,0
,580,R0.0,,73,4,0,4,0,37,0,,0,0,37,7,x,0,,2.2,1.9,,0,0,-8,104,-4,0
,581,R1.1,,73,5,3,4,1,27,4,,4,1,27,0,x,4,,8.2,8.4,,0,2,-16,124,-8,0
,582,R0.1,,73,6,1,4,0,36,4,,4,0,36,3,x,4,,2.1,2.1,,0,0,-8,104,-4,0
,583,R1.0,,73,7,2,4,1,27,0,,0,1,27,4,x,0,,8.3,8.3,,0,2,-16,124,-8,0
,584,R0.0,,73,8,0,4,0,36,0,,0,0,36,7,x,0,,2.0,2.1,,0,0,-8,104,-4,0
,585,R1.1,,74,1,3,4,1,24,4,,4,1,24,1,x,4,,7.7,8.6,,0,2,-16,132,-4,0
,586,R0.1,,74,2,1,4,0,39,4,,4,0,39,0,x,4,,3.8,3.4,,0,0,-8,100,0,0
,587,R1.0,,74,3,2,4,1,24,0,,0,1,24,5,x,0,,7.5,8.3,,0,2,-16,132,-4,0
,588,R0.0,,74,4,0,4,0,39,0,,0,0,39,4,x,0,,3.4,3.4,,0,0,-8,100,0,0
,589,R1.1,,74,5,3,4,1,25,4,,4,1,25,1,x,4,,7.8,8.3,,0,2,-16,132,-4,0
,590,R0.1,,74,6,1,4,0,38,4,,4,0,38,0,x,4,,3.5,3.4,,0,0,-8,100,0,0
,591,R1.0,,74,7,2,4,1,25,0,,0,1,25,5,x,0,,7.5,8.1,,0,2,-16,132,-4,0
,592,R0.0,,74,8,0,4,0,38,0,,0,0,38,4,x,0,,3.1,3.5,,0,0,-8,100,0,0
,593,R1.1,,75,1,3,4,1,26,5,,5,1,26,1,x,5,,6.5,7.4,,0,2,-20,136,-8,0
,594,R0.1,,75,2,1,4,0,37,5,,5,0,37,0,x,5,,4.3,4.1,,0,0,-8,104,-4,0
,595,R1.0,,75,3,2,4,1,26,1,,1,1,26,5,x,1,,6.5,7.2,,0,2,-20,136,-8,0
,596,R0.0,,75,4,0,4,0,37,1,,1,0,37,4,x,1,,4.1,4.1,,0,0,-8,104,-4,0
,597,R1.1,,75,5,3,4,1,27,5,,5,1,27,1,x,5,,6.3,7.0,,0,2,-20,136,-8,0
,598,R0.1,,75,6,1,4,0,36,5,,5,0,36,0,x,5,,3.8,3.9,,0,0,-8,104,-4,0
,599,R1.0,,75,7,2,4,1,27,1,,1,1,27,5,x,1,,6.4,6.8,,0,2,-20,136,-8,0
,600,R0.0,,75,8,0,4,0,36,1,,1,0,36,4,x,1,,3.8,4.0,,0,0,-8,104,-4,0
,601,R1.1,,76,1,3,4,1,24,5,,5,1,24,2,x,5,,5.7,6.6,,0,2,-16,112,-4,0
,602,R0.1,,76,2,1,4,0,39,5,,5,0,39,1,x,5,,5.5,5.2,,0,0,-8,104,-4,0
,603,R1.0,,76,3,2,4,1,24,1,,1,1,24,6,x,1,,5.8,6.6,,0,2,-16,112,-4,0
,604,R0.0,,76,4,0,4,0,39,1,,1,0,39,5,x,1,,5.3,5.1,,0,0,-8,104,-4,0
,605,R1.1,,76,5,3,4,1,25,5,,5,1,25,2,x,5,,5.8,6.4,,0,2,-16,112,-4,0
,606,R0.1,,76,6,1,4,0,38,5,,5,0,38,1,x,5,,5.2,5.3,,0,0,-8,104,-4,0
,607,R1.0,,76,7,2,4,1,25,1,,1,1,25,6,x,1,,5.8,6.3,,0,2,-16,112,-4,0
,608,R0.0,,76,8,0,4,0,38,1,,1,0,38,5,x,1,,5.1,5.1,,0,0,-8,104,-4,0
,609,R1.0,,77,1,2,4,1,26,6,x,2,1,26,2,x,2,,4.7,5.5,,0,2,-12,108,-4,0
,610,R0.0,,77,2,0,4,0,37,6,x,2,0,37,1,x,2,,6.2,6.0,,0,2,-12,108,-4,0
,611,R1.1,,77,3,3,4,1,26,2,x,6,1,26,6,x,6,,4.7,5.4,,0,2,-12,108,-4,0
,612,R0.1,,77,4,1,4,0,37,2,x,6,0,37,5,x,6,,6.0,5.8,,0,2,-12,108,-4,0
,613,R1.0,,77,5,2,4,1,27,6,x,2,1,27,2,x,2,,4.4,5.3,,0,2,-12,108,-4,0
,614,R0.0,,77,6,0,4,0,36,6,x,2,0,36,1,x,2,,5.6,5.8,,0,2,-12,108,-4,0
,615,R1.1,,77,7,3,4,1,27,2,x,6,1,27,6,x,6,,4.8,5.1,,0,2,-12,108,-4,0
,616,R0.1,,77,8,1,4,0,36,2,x,6,0,36,5,x,6,,5.8,5.7,,0,2,-12,108,-4,0
,617,R1.0,,78,1,2,4,1,24,6,x,2,1,24,3,x,2,,4.0,4.7,,0,0,-8,100,0,0
,618,R0.0,,78,2,0,4,0,39,6,x,2,0,39,2,x,2,,7.4,6.9,,0,2,-16,120,-8,0
,619,R1.1,,78,3,3,4,1,24,2,x,6,1,24,7,x,6,,4.0,4.6,,0,0,-8,100,0,0
,620,R0.1,,78,4,1,4,0,39,2,x,6,0,39,6,x,6,,7.2,7.0,,0,2,-16,120,-8,0
,621,R1.0,,78,5,2,4,1,25,6,x,2,1,25,3,x,2,,4.0,4.5,,0,0,-8,100,0,0
,622,R0.0,,78,6,0,4,0,38,6,x,2,0,38,2,x,2,,7.1,7.0,,0,2,-16,120,-8,0
,623,R1.1,,78,7,3,4,1,25,2,x,6,1,25,7,x,6,,4.0,4.3,,0,0,-8,100,0,0
,624,R0.1,,78,8,1,4,0,38,2,x,6,0,38,6,x,6,,7.0,7.1,,0,2,-16,120,-8,0
,625,R1.0,,79,1,2,4,1,26,7,x,3,1,26,3,x,3,,2.7,3.5,,0,0,-8,100,0,0
,626,R0.0,,79,2,0,4,0,37,7,x,3,0,37,2,x,3,,7.8,7.6,,0,2,-16,128,-4,0
,627,R1.1,,79,3,3,4,1,26,3,x,7,1,26,7,x,7,,2.9,3.4,,0,0,-8,100,0,0
,628,R0.1,,79,4,1,4,0,37,3,x,7,0,37,6,x,7,,7.9,7.7,,0,2,-16,128,-4,0
,629,R1.0,,79,5,2,4,1,27,7,x,3,1,27,3,x,3,,2.8,3.4,,0,0,-8,100,0,0
,630,R0.0,,79,6,0,4,0,36,7,x,3,0,36,2,x,3,,7.6,7.8,,0,2,-16,128,-4,0
,631,R1.1,,79,7,3,4,1,27,3,x,7,1,27,7,x,7,,2.8,3.3,,0,0,-8,100,0,0
,632,R0.1,,79,8,1,4,0,36,3,x,7,0,36,6,x,7,,7.6,7.7,,0,2,-16,128,-4,0
,633,R1.0,,80,1,2,4,1,24,7,x,3,1,24,0,x,3,,2.0,2.9,,0,0,-8,96,0,0
,634,R0.0,,80,2,0,4,0,39,7,x,3,0,39,3,x,3,,9.0,8.3,,0,2,-16,120,-8,0
,635,R1.1,,80,3,3,4,1,24,3,x,7,1,24,4,x,7,,2.3,2.9,,0,0,-8,96,0,0
,636,R0.1,,80,4,1,4,0,39,3,x,7,0,39,7,x,7,,9.1,8.3,,0,2,-16,120,-8,0
,637,R1.0,,80,5,2,4,1,25,7,x,3,1,25,0,x,3,,2.0,2.6,,0,0,-8,96,0,0
,638,R0.0,,80,6,0,4,0,38,7,x,3,0,38,3,x,3,,8.8,8.3,,0,2,-16,120,-8,0
,639,R1.1,,80,7,3,4,1,25,3,x,7,1,25,4,x,7,,2.3,2.6,,0,0,-8,96,0,0
,640,R0.1,,80,8,1,4,0,38,3,x,7,0,38,7,x,7,,8.8,8.3,,0,2,-16,120,-8,0
,641,R1.1,,81,1,3,5,1,22,4,,4,1,22,0,x,4,,8.8,9.1,,0,2,-16,116,-4,0
,642,R0.1,,81,2,1,5,0,41,4,,4,0,41,3,x,4,,3.0,2.2,,0,0,-8,100,0,0
,643,R1.0,,81,3,2,5,1,22,0,,0,1,22,4,x,0,,8.6,9.0,,0,2,-16,116,-4,0
,644,R0.0,,81,4,0,5,0,41,0,,0,0,41,7,x,0,,2.6,2.2,,0,0,-8,100,0,0
,645,R1.1,,81,5,3,5,1,23,4,,4,1,23,0,x,4,,8.9,8.8,,0,2,-16,116,-4,0
,646,R0.1,,81,6,1,5,0,40,4,,4,0,40,3,x,4,,2.7,2.2,,0,0,-8,100,0,0
,647,R1.0,,81,7,2,5,1,23,0,,0,1,23,4,x,0,,8.6,8.7,,0,2,-16,116,-4,0
,648,R0.0,,81,8,0,5,0,40,0,,0,0,40,7,x,0,,2.4,2.2,,0,0,-8,100,0,0
,649,R1.1,,82,1,3,5,1,20,4,,4,1,20,1,x,4,,8.1,9.1,,0,2,-12,132,-4,0
,650,R0.1,,82,2,1,5,0,43,4,,4,0,43,0,x,4,,4.2,3.8,,0,0,-8,104,-4,0
,651,R1.0,,82,3,2,5,1,20,0,,0,1,20,5,x,0,,7.9,8.8,,0,2,-12,132,-4,0
,652,R0.0,,82,4,0,5,0,43,0,,0,0,43,4,x,0,,3.8,3.9,,0,0,-8,104,-4,0
,653,R1.1,,82,5,3,5,1,21,4,,4,1,21,1,x,4,,8.2,8.8,,0,2,-12,132,-4,0
,654,R0.1,,82,6,1,5,0,42,4,,4,0,42,0,x,4,,3.9,3.9,,0,0,-8,104,-4,0
,655,R1.0,,82,7,2,5,1,21,0,,0,1,21,5,x,0,,7.9,8.6,,0,2,-12,132,-4,0
,656,R0.0,,82,8,0,5,0,42,0,,0,0,42,4,x,0,,3.6,4.0,,0,0,-8,104,-4,0
,657,R1.1,,83,1,3,5,1,22,5,,5,1,22,1,x,5,,6.8,7.9,,0,2,-16,136,-8,0
,658,R0.1,,83,2,1,5,0,41,5,,5,0,41,0,x,5,,4.7,4.5,,0,0,-8,104,-4,0
,659,R1.0,,83,3,2,5,1,22,1,,1,1,22,5,x,1,,6.9,7.5,,0,2,-16,136,-8,0
,660,R0.0,,83,4,0,5,0,41,1,,1,0,41,4,x,1,,4.5,4.4,,0,0,-8,104,-4,0
,661,R1.1,,83,5,3,5,1,23,5,,5,1,23,1,x,5,,6.9,7.5,,0,2,-16,136,-8,0
,662,R0.1,,83,6,1,5,0,40,5,,5,0,40,0,x,5,,4.4,4.4,,0,0,-8,104,-4,0
,663,R1.0,,83,7,2,5,1,23,1,,1,1,23,5,x,1,,6.9,7.2,,0,2,-16,136,-8,0
,664,R0.0,,83,8,0,5,0,40,1,,1,0,40,4,x,1,,4.3,4.5,,0,0,-8,104,-4,0
,665,R1.1,,84,1,3,5,1,20,5,,5,1,20,2,x,5,,6.2,7.1,,0,2,-16,116,-8,0
,666,R0.1,,84,2,1,5,0,43,5,,5,0,43,1,x,5,,5.9,5.7,,0,0,-8,104,-4,0
,667,R1.0,,84,3,2,5,1,20,1,,1,1,20,6,x,1,,6.2,7.1,,0,2,-16,116,-8,0
,668,R0.0,,84,4,0,5,0,43,1,,1,0,43,5,x,1,,5.7,5.6,,0,0,-8,104,-4,0
,669,R1.1,,84,5,3,5,1,21,5,,5,1,21,2,x,5,,6.2,6.9,,0,2,-16,116,-8,0
,670,R0.1,,84,6,1,5,0,42,5,,5,0,42,1,x,5,,5.6,5.8,,0,0,-8,104,-4,0
,671,R1.0,,84,7,2,5,1,21,1,,1,1,21,6,x,1,,6.2,6.8,,0,2,-16,116,-8,0
,672,R0.0,,84,8,0,5,0,42,1,,1,0,42,5,x,1,,5.5,5.6,,0,0,-8,104,-4,0
,673,R1.0,,85,1,2,5,1,22,6,x,2,1,22,2,x,2,,5.1,6.0,,0,2,-16,116,-8,0
,674,R0.0,,85,2,0,5,0,41,6,x,2,0,41,1,x,2,,6.6,6.4,,0,2,-12,108,-4,0
,675,R1.1,,85,3,3,5,1,22,2,x,6,1,22,6,x,6,,5.1,5.7,,0,2,-16,116,-8,0
,676,R0.1,,85,4,1,5,0,41,2,x,6,0,41,5,x,6,,6.5,6.1,,0,2,-12,108,-4,0
,677,R1.0,,85,5,2,5,1,23,6,x,2,1,23,2,x,2,,5.1,5.5,,0,2,-16,116,-8,0
,678,R0.0,,85,6,0,5,0,40,6,x,2,0,40,1,x,2,,6.3,6.3,,0,2,-12,108,-4,0
,679,R1.1,,85,7,3,5,1,23,2,x,6,1,23,6,x,6,,5.1,5.4,,0,2,-16,116,-8,0
,680,R0.1,,85,8,1,5,0,40,2,x,6,0,40,5,x,6,,6.2,6.2,,0,2,-12,108,-4,0
