INDEX,VD,Group,,OSFP Port#,OSFP Lane#,Ramon3,VD,Port Group,Serdes Core,Physical Lane,Rx 2x2 Mux,Logical Lane
1010,R0.0,7,,127,2,0,0,7,61,3,,3
1011,R1.1,7,,127,3,1,1,0,2,1,x,5
1012,R0.1,7,,127,4,0,1,7,61,1,x,5
1013,R1.0,7,,127,5,1,0,0,3,7,x,3
1014,R0.0,7,,127,6,0,0,7,60,7,x,3
1015,R1.1,7,,127,7,1,1,0,3,5,,5
1016,R0.1,7,,127,8,0,1,7,60,5,,5
1017,R1.0,7,,128,1,1,0,0,0,3,,3
1018,R0.0,7,,128,2,0,0,7,63,3,,3
1019,R1.1,7,,128,3,1,1,0,0,1,x,5
1020,R0.1,7,,128,4,0,1,7,63,1,x,5
1021,R1.0,7,,128,5,1,0,0,1,7,x,3
1022,R0.0,7,,128,6,0,0,7,62,7,x,3
1023,R1.1,7,,128,7,1,1,0,1,5,,5
1024,R0.1,7,,128,8,0,1,7,62,5,,5
